;;;;;;jêzyk polski;;;;;matematyka;;;;;jêzyk angielski;;;;;jêzyk francuski;;;;;jêzyk hiszpañski;;;;;jêzyk niemiecki;;;;;jêzyk rosyjski;;;;;jêzyk w³oski;;;;
ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Bydgoski;Bia³e B³ota;Gmina wiejska;0403012;252;67,03968254;15,37127851;67;67;252;57,32539683;28,21637748;57;97;252;77,79761905;23,57970934;87;96;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;107;62,72897196;17,89093129;64;56;107;51,42990654;29,14742166;50;13;106;68,53773585;28,92709591;78;98;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;D¹browa Che³miñska;Gmina wiejska;0403022;71;59,56338028;16,84622446;64;69;71;47,5915493;30,29273955;50;13;69;69,37681159;30,57047048;84;98;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Obszar wiejski;0403045;63;59,6984127;16,52668349;60;60;63;46,42857143;26,5675027;47;87;63;59,44444444;29,46333626;64;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Koronowo;Miasto;0403044;119;60,74789916;18,1604513;62;51;119;41,25210084;28,23616445;33;13;113;61,47787611;29,62721105;62;95;;;;;;;;;;;6;31,66666667;18,38175424;26,5;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Nowa Wieœ Wielka;Gmina wiejska;0403052;82;58,3902439;15,94101635;61;71;82;51,90243902;28,51683703;50;47;82;73,79268293;26,56365471;88;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Osielsko;Gmina wiejska;0403062;196;61,98979592;16,93655321;64;60;196;59,18367347;28,68827782;63;93;194;81,56185567;22,07879023;91;96;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Sicienko;Gmina wiejska;0403072;80;56,8625;19,52674048;57;53;80;48;31,63226201;37;17;79;60,81012658;30,46187738;62;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Solec Kujawski;Miasto;0403084;151;57,95364238;18,12076404;62;62;151;49,93377483;28,4443616;50;13;152;70,20394737;28,25200012;82;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;Gmina miejska;0461011;2294;64,29642546;17,91930024;67;69;2294;51,8700959;29,27877082;50;20;2344;74,72269625;27,17474228;87;98;3;;;;;1;;;;;14;47,35714286;29,48027705;27;25;3;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Che³mno;Gmina miejska;0404011;147;52,28571429;19,09624745;56;40;147;40,66666667;25,894168;33;17;147;61,8707483;29,5847157;64;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Che³mno;Gmina wiejska;0404022;39;58,58974359;15,12125003;62;64;39;41,20512821;25,52342261;30;27;38;54,23684211;29,32076165;43;38;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Kijewo Królewskie;Gmina wiejska;0404032;45;57,42222222;14,89293477;58;69;45;39,53333333;23,75579461;33;13;45;54,13333333;27,77016785;45;42;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Lisewo;Gmina wiejska;0404042;45;58,02222222;19,26134747;64;69;46;46,5;28,90069203;38,5;20;44;54,77272727;30,48983708;49;15;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Papowo Biskupie;Gmina wiejska;0404052;28;48,17857143;21,52748007;51;56;28;39,35714286;22,85703125;38,5;13;28;56,5;31,61769396;58,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Stolno;Gmina wiejska;0404062;35;57,34285714;19,01118897;58;73;35;35,85714286;26,38629824;27;10;35;47,91428571;31,62130514;44;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Che³miñski;Unis³aw;Gmina wiejska;0404072;71;58,47887324;14,57361996;60;67;71;41,38028169;25,86006013;33;20;70;62,24285714;29,31866091;62,5;95;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Ciechocin;Gmina wiejska;0405022;22;64,36363636;11,32794395;65,5;58;22;44,95454545;22,39820868;40;20;22;68,27272727;28,65497231;87;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Golub-Dobrzyñ;Gmina wiejska;0405032;53;58,16981132;16,19542895;62;47;53;42,47169811;27,1721304;37;10;53;55,05660377;28,65699236;47;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Golub-Dobrzyñ;Gmina miejska;0405011;118;49,61864407;18,1271028;52;58;118;35,77966102;23,01331066;30;27;117;61,63247863;28,88308241;65;96;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Kowalewo Pomorskie;Obszar wiejski;0405045;30;55,43333333;16,11558942;58;58;30;40,46666667;23,26189063;37;13;30;58,8;29,48151964;56;33;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Kowalewo Pomorskie;Miasto;0405044;46;60,97826087;20,6592322;63;62;46;44,89130435;25,4098819;41,5;33;49;63,46938776;32,89197039;75;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Radomin;Gmina wiejska;0405052;28;45,89285714;17,13046427;40;31;28;28,46428571;18,90291388;23;13;27;57,85185185;26,59811147;51;51;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Golubsko-Dobrzyñski;Zbójno;Gmina wiejska;0405062;28;55,35714286;16,37335441;57;60;28;39,21428571;23,22461309;33;20;28;59,35714286;32,5238531;57;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dz;Grudzi¹dz;Gmina miejska;0462011;788;58,60279188;19,75981006;62;62;788;43,66370558;29,52392736;37;13;788;64,98096447;30,09841544;75;98;;;;;;;;;;;3;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;Grudzi¹dz;Gmina wiejska;0406012;120;52,55833333;19,56476247;56;49;120;44,10833333;25,59745946;40;13;120;62,24166667;32,02082547;74,5;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;Gruta;Gmina wiejska;0406022;49;57,12244898;16,21114841;62;62;49;42,53061224;26,58302515;40;23;49;66,6122449;30,22555773;78;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;Radzyñ Che³miñski;Miasto;0406044;39;40,12820513;21,12742717;36;24;39;36,8974359;24,79225983;30;13;39;51,15384615;31,58102194;49;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;RogóŸno;Gmina wiejska;0406052;34;56,20588235;13,74725515;53;49;34;45,35294118;30,46104779;45;20;33;53,75757576;27,44143108;47;42;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;£asin;Obszar wiejski;0406035;30;52,5;19,94784867;57;67;30;34,23333333;22,05551078;21,5;20;4;;;;;;;;;;;;;;;26;59,76923077;17,12467337;61;38;;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;£asin;Miasto;0406034;57;49,96491228;21,47537546;51;47;57;42,59649123;26,64244052;33;20;41;54,58536585;27,87863559;55;73;;;;;;;;;;;15;58,46666667;20,35965509;55;55;1;;;;;;;;;
1;Kujawsko-Pomorskie;Grudzi¹dzki;Œwiecie Nad Os¹;Gmina wiejska;0406062;26;55,61538462;14,90760499;58;56;26;39,15384615;21,01408375;40;17;26;58,11538462;26,48849812;63,5;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;D¹browa Biskupia;Gmina wiejska;0407022;51;56,49019608;19,4335192;58;69;51;48,64705882;31,24151557;50;17;51;62,96078431;27,02283768;67;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Gniewkowo;Obszar wiejski;0407035;33;52,42424242;17,43391036;56;60;33;28,42424242;22,3566549;20;7;33;49,09090909;29,54027927;44;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Gniewkowo;Miasto;0407034;85;54,90588235;19,56444767;56;56;85;35,63529412;24,77040315;27;13;85;61,78823529;31,30611446;67;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Inowroc³aw;Gmina miejska;0407011;558;59,40501792;19,84530072;64;69;558;48,87992832;29,84460817;43;13;555;71,70630631;28,00254583;84;98;;;;;;1;;;;;4;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Inowroc³aw;Gmina wiejska;0407042;56;54,67857143;18,42078324;58;60;56;44,10714286;25,3614433;40;40;56;59,80357143;32,06322974;60;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Janikowo;Miasto;0407054;77;55,55844156;17,79500405;56;53;77;45,35064935;26,67737318;40;33;75;68,22666667;28,21137989;75;75;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Janikowo;Obszar wiejski;0407055;38;49,94736842;17,12177341;57;62;38;40,57894737;25,71261372;35;17;38;56,89473684;30,87392826;55,5;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Kruszwica;Miasto;0407064;90;58,88888889;20,82276769;64;67;90;35,5;25,39170906;27;20;90;56,88888889;32,76293449;59;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Kruszwica;Obszar wiejski;0407065;65;60,16923077;16,88200611;60;76;65;41,47692308;25,69531995;40;10;65;54,67692308;29,00986978;53;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Pakoœæ;Miasto;0407074;67;62,91044776;19,25068818;67;69;67;47,56716418;30,20488439;43;10;67;62,53731343;28,6259085;67;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Pakoœæ;Obszar wiejski;0407075;12;64,41666667;14,65979953;65,5;42;12;38,33333333;25,88543134;28,5;17;12;61,83333333;23,44437862;65;65;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Rojewo;Gmina wiejska;0407082;32;53,875;17,66838632;56;42;32;29,65625;20,76898134;21,5;17;32;48,125;29,03311687;40,5;11;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Inowroc³awski;Z³otniki Kujawskie;Gmina wiejska;0407092;83;58,04819277;20,5484462;60;71;83;47,72289157;28,30697187;40;23;83;65,22891566;31,09268124;78;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Bobrowniki;Miasto;0408024;7;66,14285714;7,039248568;67;;7;30,14285714;15,60612125;27;;7;49,42857143;23,64533867;47;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Chrostkowo;Gmina wiejska;0408032;35;66,85714286;14,11613637;67;64;35;45,02857143;31,05247698;40;13;35;58,57142857;26,55268156;56;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Dobrzyñ Nad Wis³¹;Obszar wiejski;0408045;33;67,45454545;18,76503988;73;82;33;47,51515152;28,42013927;43;10;33;59,39393939;30,2924527;55;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Dobrzyñ Nad Wis³¹;Miasto;0408044;42;57,33333333;18,31817555;59;73;42;29,85714286;25,53575591;17;13;42;61,16666667;30,081569;71;85;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Kikó³;Obszar wiejski;0408055;24;64,33333333;16,36221936;68;69;24;46,20833333;23,88336096;48;43;24;68,20833333;25,5081346;76,5;85;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Kikó³;Miasto;0408054;31;53,38709677;20,41453849;53;51;31;36,64516129;27,2083341;27;13;31;61,38709677;33,18343681;75;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Lipno;Gmina wiejska;0408062;81;63,96296296;17,28086392;64;78;81;42,09876543;28,40083677;33;20;81;65,19753086;29,66330391;78;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Lipno;Gmina miejska;0408011;138;56,60869565;21,04151686;62;67;138;37,26811594;27,63203871;27;10;138;58,42753623;31,39437956;63;93;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Skêpe;Obszar wiejski;0408075;8;55,125;26,60562675;47;47;8;45;29,23183196;45;;8;47;28,21347196;43,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Skêpe;Miasto;0408074;57;54,12280702;18,56621169;56;51;57;42,59649123;29,02501018;37;10;56;55,91071429;33,37090092;55;98;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;T³uchowo;Gmina wiejska;0408082;47;61,93617021;13,15279156;62;62;47;51,63829787;31,24877906;50;10;43;62,53488372;25,89814471;64;27;;;;;;;;;;;4;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Lipnowski;Wielgie;Gmina wiejska;0408092;61;49,68852459;17,54109085;51;51;61;30,19672131;22,11654649;20;17;61;45,2295082;27,94807448;42;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Mogileñski;D¹browa;Gmina wiejska;0409012;65;57,55384615;14,7429574;58;47;65;33,13846154;24,4061007;23;10;65;51;27,2944063;45;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Mogileñski;Jeziora Wielkie;Gmina wiejska;0409022;33;63,06060606;16,90784181;64;69;33;35,18181818;24,38386767;27;17;33;54,66666667;32,5778012;53;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Mogileñski;Mogilno;Miasto;0409034;152;60,75;17,28257793;62;67;152;40,05921053;26,49956145;35;17;154;66,46753247;29,54265436;74;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Mogileñski;Mogilno;Obszar wiejski;0409035;77;62,05194805;17,41986931;64;71;77;37,87012987;24,07690635;30;27;78;65,74358974;29,15671005;76;56;;;;;;;;;;;;;;;;;;;;;;;;;
