;;;;;;jêzyk polski;;;;;matematyka;;;;;jêzyk angielski;;;;;jêzyk francuski;;;;;jêzyk hiszpañski;;;;;jêzyk niemiecki;;;;;jêzyk rosyjski;;;;;jêzyk w³oski;;;;
ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%)
3;Lubelskie;Che³mski;Bia³opole;Gmina wiejska;0603022;8;70;15,16575089;68,5;;8;55,875;19,51561874;62;67;8;65,75;31,09159854;84,5;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Che³m;Gmina wiejska;0603032;138;66,50724638;16,42649255;69;69;138;51,51449275;28,75136683;50;13;138;67,51449275;29,26867928;78;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Dorohusk;Gmina wiejska;0603042;42;68,52380952;14,73292085;71;78;42;36,4047619;20,75716689;30;23;42;68,04761905;28,63393955;80;93;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Dubienka;Gmina wiejska;0603052;13;62,23076923;18,6595154;60;60;13;30,69230769;27,94330693;13;13;8;74,625;26,22469018;86,5;;;;;;;;;;;;5;51,6;6,499230724;49;49;;;;;;;;;;
3;Lubelskie;Che³mski;Kamieñ;Gmina wiejska;0603062;24;68,66666667;14,69315789;72;73;24;41,375;23,40550594;38,5;13;24;73,875;21,18433482;83;87;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Leœniowice;Gmina wiejska;0603072;18;64,72222222;19,33852102;67;42;18;36;20,92048438;30;17;17;64,76470588;28,18119818;78;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Rejowiec;Obszar wiejski;0603155;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Rejowiec;Miasto;0603154;35;61,42857143;14,59605762;64;71;35;41,4;26,36902945;40;13;35;70,91428571;25,83504976;78;100;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Rejowiec Fabryczny;Gmina wiejska;0603082;28;63,85714286;17,72551487;65,5;67;28;43,89285714;22,17517802;37;30;28;54,57142857;28,52871808;52;73;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Rejowiec Fabryczny;Gmina miejska;0603011;30;69,76666667;15,7007077;73;71;30;49,56666667;28,0733365;45;23;30;66,36666667;29,84904614;76;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Ruda-Huta;Gmina wiejska;0603092;28;61,96428571;17,32150221;58;53;28;35,25;27,45206862;23;7;28;53,60714286;27,99405458;43;31;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Sawin;Gmina wiejska;0603102;41;73,31707317;15,43584524;76;87;41;47,75609756;28,03637053;40;20;41;73,26829268;25,9699868;80;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Siedliszcze;Miasto;0603114;54;60,96296296;19,89599156;64;76;54;37,27777778;30,07485517;25;20;54;47,12962963;29,37058638;39;13;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;Wierzbica;Gmina wiejska;0603122;36;66,25;15,76101907;68;71;36;44,02777778;30,93136318;35;7;35;62,65714286;30,53610777;71;95;;;;;;;;;;;;;;;;1;;;;;;;;;
3;Lubelskie;Che³mski;Wojs³awice;Gmina wiejska;0603132;27;63,51851852;15,78177658;62;53;27;40,66666667;26,8259134;30;23;27;59,07407407;29,24345565;67;15;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Che³mski;¯mudŸ;Gmina wiejska;0603142;22;49,31818182;16,1790728;49;36;22;22,5;15,95376843;18,5;10;22;57,72727273;28,94694491;58,5;13;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Do³hobyczów;Gmina wiejska;0604022;23;58,86956522;18,04897768;62;62;23;48,43478261;29,57058775;43;13;23;54,34782609;29,33703505;49;16;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Horod³o;Gmina wiejska;0604032;26;57,19230769;17,91651415;60;53;26;28,69230769;19,80825242;23;30;25;66,32;29,49809485;80;96;;;;;;;;;;;;;;;;1;;;;;;;;;
3;Lubelskie;Hrubieszowski;Hrubieszów;Gmina wiejska;0604042;47;56,5106383;15,36488445;56;56;47;37,70212766;24,1976919;37;13;46;49,23913043;27,51298886;43,5;35;;;;;;;;;;;;;;;;1;;;;;;;;;
3;Lubelskie;Hrubieszowski;Hrubieszów;Gmina miejska;0604011;179;57,87709497;20,91473727;60;49;179;38,97206704;27,36335889;30;17;179;63,59217877;30,52732351;73;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Mircze;Gmina wiejska;0604052;33;68,03030303;17,9282828;73;78;33;36,60606061;27,75535918;23;10;33;66,03030303;30,72308859;62;56;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Trzeszczany;Gmina wiejska;0604062;21;60,04761905;13,44999979;64;64;21;39,52380952;23,01266535;37;17;21;59,19047619;31,79191129;56;22;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Uchanie;Gmina wiejska;0604072;22;60,95454545;20,22706844;67;31;22;40,13636364;21,61290745;40;40;22;56,36363636;29,83979261;60;29;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Hrubieszowski;Werbkowice;Gmina wiejska;0604082;66;60,3030303;19,6229378;61;71;66;34,98484848;25,19950241;27;20;64;62,59375;29,46964474;68;93;;;;;;;;;;;2;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Batorz;Gmina wiejska;0605012;26;68,07692308;12,28483454;69;73;26;42,15384615;28,16529822;36,5;10;26;68,53846154;28,70570939;84;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Chrzanów;Gmina wiejska;0605022;21;62,85714286;15,06584189;62;71;21;32,14285714;25,09275311;30;13;21;48,76190476;30,18183743;31;18;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Dzwola;Gmina wiejska;0605032;48;60,4375;18,16923481;63;62;48;48,6875;27,85165783;40;23;48;56,75;29,88833384;62;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Godziszów;Gmina wiejska;0605042;38;60,94736842;17,36746409;63;47;38;43,73684211;27,62882192;41,5;10;38;61,55263158;30,16419747;70;85;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Janów Lubelski;Obszar wiejski;0605055;19;66,63157895;16,05651377;69;49;19;55,21052632;29,68533033;53;30;19;72,05263158;27,29270904;80;85;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Janów Lubelski;Miasto;0605054;132;62,73484848;16,76163542;64;67;132;45,86363636;27,78946081;40;27;131;70,25954198;27,85419721;82;96;1;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Modliborzyce;Obszar wiejski;0605065;20;61,1;17,93850607;56;56;20;51,65;27,51776699;53,5;10;20;60,55;30,83257206;53,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Janowski;Modliborzyce;Miasto;0605064;37;57,94594595;18,01492766;58;40;37;38,94594595;27,81205839;27;13;35;73,05714286;22,97569257;78;95;;;;;;;;;;;;;;;;2;;;;;;;;;
3;Lubelskie;Janowski;Potok Wielki;Gmina wiejska;0605072;40;67;13,51295675;64,5;84;40;37,925;25,35191068;31,5;7;40;68,475;28,3478284;77;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Fajs³awice;Gmina wiejska;0606022;38;67,5;15,35329555;70;71;38;45,21052632;27,91166319;37;70;38;68,92105263;29,67400207;82;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Gorzków;Gmina wiejska;0606032;20;61,25;15,16533877;64,5;47;20;46,45;25,92580761;45;13;20;65,6;34,58670265;84,5;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Izbica;Obszar wiejski;0606045;18;57,38888889;20,47800687;60;60;18;40,5;20,78260491;45;10;18;70,27777778;27,5959046;77,5;73;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Izbica;Miasto;0606044;26;49,26923077;18,3041771;44,5;36;26;38,30769231;25,47362019;25;20;26;54,73076923;32,97383309;46,5;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Krasnystaw;Gmina wiejska;0606052;48;69,375;15,87270325;71;73;48;43,20833333;27,66312101;33;17;48;64,125;26,53505936;64;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Krasnystaw;Gmina miejska;0606011;143;67,02097902;18,04441627;71;64;143;49,02097902;29,74330001;47;10;142;68,26760563;27,93627444;78;100;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Kraœniczyn;Gmina wiejska;0606062;15;56,73333333;22,11324389;51;40;15;34;29,35983651;20;3;15;50,86666667;28,72598514;44;15;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Rudnik;Gmina wiejska;0606092;15;54,2;16,4;56;42;15;34,73333333;26,81409248;30;10;15;50,4;29,7585842;44;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;Siennica Ró¿ana;Gmina wiejska;0606102;32;63,375;16,47867941;63;84;32;43,625;23,80880877;40;27;32;57,9375;27,94742553;58;44;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;£opiennik Górny;Gmina wiejska;0606072;21;58,80952381;17,8288665;60;38;21;55,66666667;30,63041335;53;10;21;63,95238095;28,87654542;65;89;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Krasnostawski;¯ó³kiewka;Gmina wiejska;0606112;36;57,27777778;22,48161114;58;53;36;30,44444444;26,66192087;20;13;36;48,94444444;29,23843023;40;16;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Annopol;Obszar wiejski;0607025;30;47,66666667;20,67902856;51;69;30;28,86666667;21,89632136;20;10;30;51,33333333;31,3010472;42;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Annopol;Miasto;0607024;39;73,07692308;18,80450657;80;67;39;49,58974359;30,63910519;50;13;39;59,61538462;29,39528602;60;60;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Dzierzkowice;Gmina wiejska;0607032;47;59,25531915;17,52137671;60;51;47;46,23404255;28,76775142;43;10;47;57,95744681;33,20020344;67;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Goœcieradów;Gmina wiejska;0607042;57;58,35087719;16,60637293;60;69;57;38,52631579;26,15614735;33;33;57;58,78947368;31,77317463;58;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Kraœnik;Gmina wiejska;0607052;52;67,88461538;15,57568846;69;78;52;53,69230769;28,33762005;53;17;51;65,21568627;29,8218986;78;95;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Kraœnik;Gmina miejska;0607011;276;67,08695652;19,27771044;71;78;276;46,5615942;27,22663557;43;17;272;69,875;28,61648987;79;98;;;;;;;;;;;4;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Szastarka;Gmina wiejska;0607062;40;59,675;15,90029481;62;38;40;47,625;26,1607411;45;27;39;60,35897436;29,14991066;60;35;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Trzydnik Du¿y;Gmina wiejska;0607072;42;59,47619048;20,20282641;65,5;71;42;41,0952381;30,01571773;30;7;42;60,30952381;32,57408267;66,5;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Urzêdów;Obszar wiejski;0607085;38;64,71052632;14,79136999;67;73;38;39,23684211;25,35997075;33;23;38;58,52631579;29,89960116;54,5;35;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Urzêdów;Miasto;0607084;35;67,71428571;16,49687664;71;69;35;30,62857143;24,13306648;20;10;35;53,25714286;29,13058565;53;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Wilko³az;Gmina wiejska;0607092;55;69,92727273;13,31418184;71;78;55;41,65454545;27,39622946;33;27;55;67,74545455;26,93643574;75;53;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Kraœnicki;Zakrzówek;Gmina wiejska;0607102;36;66,16666667;19,69842069;71;71;36;52,83333333;29,63996926;53;27;36;73,75;28,04299774;86;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Abramów;Gmina wiejska;0608022;30;62,36666667;16,51157843;64;67;30;48,83333333;29,91441496;43,5;23;30;71,43333333;21,74654506;80;82;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Firlej;Gmina wiejska;0608032;53;58,52830189;17,28845593;60;47;53;47,75471698;26,32375042;40;27;52;60;27,82292912;65;24;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Jeziorzany;Gmina wiejska;0608042;10;68,3;14,98032042;73;58;10;44;22,60973242;43;17;10;49,2;18,76592657;46,5;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Kamionka;Miasto;0608054;36;61,13888889;17,02474144;63;73;36;46,08333333;29,0845272;37;23;36;68,58333333;30,85123354;80;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Kamionka;Obszar wiejski;0608055;21;61,52380952;17,43182379;67;58;21;45,71428571;25,87726131;40;17;21;61,38095238;30,82435059;62;42;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Kock;Obszar wiejski;0608065;18;66,16666667;12,94968897;63;60;18;63,38888889;25,4626936;72;33;18;62;27,03084658;70;40;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Kock;Miasto;0608064;44;61,34090909;17,09591017;62;58;44;37,36363636;24,66234792;30;27;44;53,75;29,33670134;48;29;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Lubartów;Gmina wiejska;0608072;104;66,75961538;16,50727997;69;71;104;51,16346154;26,80775956;51,5;23;104;69,61538462;29,28648536;84;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Lubartów;Gmina miejska;0608011;244;64,86065574;16,93808183;64;58;244;60,66393443;27,68340056;67;80;243;79,01646091;24,83326573;91;98;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Michów;Gmina wiejska;0608082;40;57,35;22,02106946;67;67;39;36,17948718;26,75326177;27;10;39;54,8974359;30,34147105;49;15;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;NiedŸwiada;Gmina wiejska;0608092;51;61,60784314;15,35217738;62;47;51;44,52941176;27,66561747;37;23;51;64,01960784;29,89162792;62;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Ostrów Lubelski;Obszar wiejski;0608105;27;51,25925926;21,36905446;53;53;27;50,37037037;31,56668209;50;10;27;57,7037037;31,65065655;55;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Ostrów Lubelski;Miasto;0608104;33;71,84848485;14,69512641;76;71;33;46,72727273;30,51405312;40;23;33;71,45454545;32,50462989;89;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Ostrówek;Gmina wiejska;0608112;32;63,3125;16,50272231;68;78;32;57,09375;28,23933358;53;50;32;63,625;32,05732171;70;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Serniki;Gmina wiejska;0608122;35;62,91428571;14,86197724;67;71;35;56,14285714;27,22618787;47;20;35;64,65714286;24,60655297;62;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubartowski;Uœcimów;Gmina wiejska;0608132;16;52,375;15,19817012;50;42;16;40,8125;27,71781636;33,5;10;16;58,8125;30,44917641;63;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Be³¿yce;Obszar wiejski;0609015;17;62,41176471;12,68189457;62;40;17;39,11764706;24,83565358;27;27;17;47,76470588;28,05987173;35;35;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Be³¿yce;Miasto;0609014;87;67,49425287;15,08510231;71;78;87;50,54022989;28,33048178;50;40;87;73,49425287;29,0033187;91;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Borzechów;Gmina wiejska;0609022;35;62,22857143;14,83833975;64;58;35;47,25714286;29,44859236;43;17;35;59,22857143;29,06651064;64;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Bychawa;Miasto;0609034;64;66,328125;17,32687101;69;76;64;51,1875;29,35710891;47;17;64;66,46875;30,23086624;76;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Bychawa;Obszar wiejski;0609035;45;65,66666667;15,91365591;67;64;45;48,57777778;24,87344759;47;50;45;59,51111111;29,43665306;64;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Garbów;Gmina wiejska;0609042;95;66,17894737;18,0601212;69;71;95;58,11578947;28,23057811;60;47;95;71,68421053;28,25718843;87;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;G³usk;Gmina wiejska;0609052;128;70,8046875;15,27766885;73;69;128;64,2578125;27,7559808;70;90;128;75,46875;26,15337499;87;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Jab³onna;Gmina wiejska;0609062;77;63,74025974;18,20903343;67;69;77;49,05194805;28,99749031;43;13;77;68,4025974;28,04692716;78;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Jastków;Gmina wiejska;0609072;121;61,28099174;15,95459629;64;67;121;47,61983471;29,0167396;43;17;121;65,47933884;31,43985447;75;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Konopnica;Gmina wiejska;0609082;111;69,22522523;17,46279684;71;60;111;61,86486486;27,78569419;63;90;111;81,11711712;25,62190038;95;100;;;;;;1;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Krzczonów;Gmina wiejska;0609092;36;58,63888889;20,70849635;61;53;36;48,38888889;29,49508224;46,5;23;36;51,25;32,09653408;39;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Niedrzwica Du¿a;Gmina wiejska;0609102;147;65,51020408;15,63676435;67;76;147;53,6122449;27,57289633;53;23;146;67,78082192;28,05022236;75;96;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Niemce;Gmina wiejska;0609112;154;68,72077922;14,23252939;69;62;154;56,72727273;27,68169556;57;23;154;74,7987013;26,90806374;89;98;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Strzy¿ewice;Gmina wiejska;0609122;66;69,51515152;15,53319264;71;78;66;51,28787879;27,01725888;51,5;60;66;70,90909091;28,45609445;82;100;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Wojciechów;Gmina wiejska;0609132;65;67,26153846;16,20377631;69;69;65;46,16923077;27,35215881;40;13;63;63,9047619;31,28198137;78;93;;;;;;;;;;;2;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Wysokie;Gmina wiejska;0609152;36;56,25;17,75508534;61;67;36;42,58333333;28,51059744;31,5;13;36;60,16666667;30,03007751;64,5;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Wólka;Gmina wiejska;0609142;78;74,32051282;13,874431;78;80;78;51,01282051;28,39578047;51,5;17;77;73,88311688;25,2899929;85;96;;;;;;1;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lubelski;Zakrzew;Gmina wiejska;0609162;19;68,31578947;20,41426908;76;89;19;59,31578947;31,74578734;57;17;19;66,47368421;30,8568314;82;82;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Lublin;Lublin;Gmina miejska;0663011;2908;71,18363136;17,28302254;73;73;2907;60,87409701;29,40729675;67;97;2892;79,39868603;24,98744716;91;98;;;;;;21;79,04761905;33,64021996;100;100;13;94,92307692;11,65175153;100;100;2;;;;;1;;;;
3;Lubelskie;Opolski;Chodel;Gmina wiejska;0612012;70;54,54285714;19,80886217;58;62;70;32,75714286;26,18965756;23;10;70;57,12857143;31,37147086;56;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Józefów Nad Wis³¹;Obszar wiejski;0612025;24;73,20833333;14,05933606;77;56;24;42,33333333;30,52002985;28,5;10;24;51,875;28,5676281;37;22;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Józefów Nad Wis³¹;Miasto;0612024;40;74,1;13,78731301;79;91;40;47,75;24,66449878;40;27;40;72,675;26,73049523;83;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Karczmiska;Gmina wiejska;0612032;55;54,63636364;18,75813873;58;56;55;38,34545455;27,31048296;30;23;52;56,46153846;33,20360357;59;93;;;;;;;;;;;3;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Opole Lubelskie;Obszar wiejski;0612055;59;67,77966102;17,05630536;73;78;59;51,47457627;30,60926853;47;13;59;63,40677966;30,67330239;67;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Opole Lubelskie;Miasto;0612054;81;64,77777778;18,70696708;67;69;81;46,83950617;29,52732854;37;30;81;65,62962963;30,69742598;78;93;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Poniatowa;Obszar wiejski;0612065;37;64,13513514;14,66594172;67;71;37;45,27027027;26,16852726;40;23;37;60,72972973;29,70726424;60;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Poniatowa;Miasto;0612064;92;63,5;18,97567092;65,5;58;92;46,2173913;28,79606936;40;23;91;68,41758242;29,61996132;84;98;1;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;Wilków;Gmina wiejska;0612072;40;59,225;19,95054824;62;60;40;40,525;29,25575798;30;10;40;51,05;26,10071838;50;15;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Opolski;£aziska;Gmina wiejska;0612042;35;58,91428571;19,49999477;62;76;35;44,11428571;28,33652003;37;20;35;52,97142857;31,71343628;51;85;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Dêbowa K³oda;Gmina wiejska;0613012;29;61,55172414;16,89437002;62;53;29;43,37931034;27,22247271;37;17;29;65,75862069;32,1780126;84;84;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Jab³oñ;Gmina wiejska;0613022;30;57,1;13,48418827;58;38;30;41,46666667;25,14986194;38,5;20;25;62,32;28,33897669;60;20;;;;;;;;;;;;;;;;5;35,4;9,068627239;31;29;;;;;
3;Lubelskie;Parczewski;Milanów;Gmina wiejska;0613032;16;52,3125;13,10400106;49;44;16;31,9375;29,81289308;17;10;16;36,75;25,78638206;27,5;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Parczew;Obszar wiejski;0613045;13;61,76923077;17,73373077;69;47;13;45,07692308;19,9902343;43;43;13;48,61538462;28,59945793;40;13;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Parczew;Miasto;0613044;122;60,51639344;17,0766035;61;60;122;41,03278689;25,69459164;38,5;7;121;67,02479339;29,62143037;76;96;;;;;;;;;;;1;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Podedwórze;Gmina wiejska;0613052;8;52,5;14,64581852;52,5;47;8;20,5;23,69599122;10;7;8;62,25;31,67708162;75,5;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Siemieñ;Gmina wiejska;0613062;31;62,5483871;19,33881057;67;62;31;40,32258065;27,86764466;27;17;31;61,61290323;29,06797087;58;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Parczewski;Sosnowica;Gmina wiejska;0613072;27;61,62962963;16,63140302;62;56;27;38,51851852;26,75315194;27;13;27;52,44444444;31,59152879;40;20;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Baranów;Gmina wiejska;0614022;28;53,28571429;17,69555461;54,5;47;28;39,92857143;27,3508012;30;20;28;52,28571429;29,37547221;48;98;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Janowiec;Gmina wiejska;0614032;22;66,77272727;15,10849195;67;49;22;61,31818182;29,46243581;63,5;33;22;75,22727273;25,33041976;91;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Kazimierz Dolny;Obszar wiejski;0614045;13;52;23,01504525;56;36;13;44,46153846;27,36256675;37;17;13;53,23076923;21,68357708;44;42;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Kazimierz Dolny;Miasto;0614044;28;59,39285714;19,50519946;64,5;67;28;39,60714286;21,04474703;35;17;28;63,35714286;30,99679049;66;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Koñskowola;Gmina wiejska;0614052;47;59,68085106;17,9338102;60;42;47;38,93617021;22,30199328;33;33;47;69,14893617;22,68374498;67;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Kurów;Gmina wiejska;0614062;70;62,57142857;16,69522723;68;71;70;50,55714286;27,52953516;51,5;20;70;73,12857143;24,95706108;85;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Markuszów;Gmina wiejska;0614072;31;55,87096774;17,99774526;53;49;31;39,67741935;30,88938339;30;30;31;67,64516129;26,36902923;69;95;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Na³êczów;Obszar wiejski;0614085;36;62,52777778;17,22802322;64;60;36;43,25;29,69790023;37;10;36;57,36111111;31,76839168;49;96;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lubelskie;Pu³awski;Na³êczów;Miasto;0614084;39;59,66666667;17,61749325;64;67;39;50,76923077;34,44465017;57;13;39;67,48717949;28,25240793;80;91;;;;;;;;;;;;;;;;;;;;;;;;;
